,user_id,offer_id,completion_time
0,1,5,0.0
1,1,6,168.0
2,1,7,-15.0
3,1,10,0.0
4,2,3,0.0
5,2,4,168.0
6,3,4,0.0
7,3,8,0.0
8,4,1,168.0
9,4,4,126.0
10,4,8,6.0
11,4,9,-72.0
12,5,3,0.0
13,5,5,0.0
14,5,8,0.0
15,6,3,0.0
16,6,4,102.0
17,6,7,0.0
18,6,10,0.0
19,7,2,0.0
20,7,3,0.0
21,7,7,0.0
22,7,10,0.0
23,8,1,0.0
24,8,2,0.0
25,8,4,0.0
26,8,6,0.0
27,8,10,0.0
28,9,4,30.0
29,9,7,12.0
30,9,9,120.0
31,9,10,144.0
32,10,2,0.0
33,10,4,168.0
34,10,8,0.0
35,10,9,0.0
36,11,1,0.0
37,11,6,0.0
38,12,1,0.0
39,12,6,57.0
40,12,9,0.0
41,13,3,0.0
42,13,6,0.0
43,13,7,108.0
44,14,1,-6.0
45,14,2,120.0
46,14,5,0.0
47,14,8,0.0
48,14,9,18.0
49,15,1,0.0
50,15,5,80.0
51,15,10,0.0
52,16,5,0.0
53,16,6,42.0
54,16,7,120.0
55,17,1,72.0
56,17,5,0.0
57,17,8,0.0
58,18,1,0.0
59,18,2,0.0
60,18,5,0.0
61,18,6,0.0
62,18,8,0.0
63,19,3,0.0
64,19,4,84.0
65,19,5,0.0
66,19,6,168.0
67,20,1,0.0
68,20,4,0.0
69,20,8,0.0
70,21,5,-30.0
71,21,6,18.0
72,21,10,168.0
73,22,1,0.0
74,22,3,12.0
75,22,5,123.0
76,23,2,0.0
77,23,3,6.0
78,23,7,240.0
79,23,8,6.0
80,24,2,0.0
81,24,3,78.0
82,24,5,0.0
83,24,6,0.0
84,25,2,120.0
85,25,3,6.0
86,25,7,174.0
87,26,2,120.0
88,26,4,0.0
89,26,5,108.0
90,26,10,12.0
91,27,1,0.0
92,27,4,0.0
93,27,5,0.0
94,27,7,84.0
95,27,10,0.0
96,28,4,0.0
97,28,5,0.0
98,28,6,0.0
99,28,7,240.0
100,28,10,0.0
101,29,2,0.0
102,29,3,0.0
103,29,5,0.0
104,30,4,0.0
105,30,7,0.0
106,30,8,30.0
107,30,10,12.0
108,31,1,168.0
109,31,6,39.0
110,31,9,90.0
111,32,2,0.0
112,32,4,0.0
113,32,8,0.0
114,32,10,168.0
115,33,1,0.0
116,33,2,42.0
117,33,3,0.0
118,33,5,240.0
119,33,6,0.0
120,34,4,168.0
121,34,6,168.0
122,34,8,0.0
123,34,9,78.0
124,34,10,168.0
125,35,1,0.0
126,35,4,-12.0
127,35,8,-54.0
128,35,9,0.0
129,36,1,6.0
130,36,2,120.0
131,36,3,12.0
132,36,4,90.0
133,36,8,0.0
134,37,1,0.0
135,37,8,0.0
136,37,9,120.0
137,37,10,168.0
138,38,5,144.0
139,38,7,-48.0
140,38,8,0.0
141,39,6,72.0
142,39,7,66.0
143,39,8,24.0
144,40,2,0.0
145,40,6,0.0
146,40,7,0.0
147,40,8,0.0
148,40,9,48.0
149,40,10,0.0
150,41,6,54.0
151,41,9,0.0
152,41,10,108.0
153,42,1,0.0
154,42,5,0.0
155,43,2,27.0
156,43,3,0.0
157,43,4,36.0
158,43,6,120.0
159,44,2,-18.0
160,44,4,84.0
161,44,6,30.0
162,44,9,0.0
163,44,10,168.0
164,45,5,0.0
165,46,5,0.0
166,46,7,72.0
167,46,9,0.0
168,47,1,0.0
169,47,4,0.0
170,47,5,240.0
171,47,6,0.0
172,48,2,120.0
173,48,3,0.0
174,48,4,0.0
175,48,7,0.0
176,48,8,0.0
177,48,9,0.0
178,49,2,0.0
179,49,3,0.0
180,49,5,0.0
181,49,8,0.0
182,49,9,0.0
183,50,1,0.0
184,50,4,168.0
185,50,6,102.0
186,50,10,168.0
187,51,1,102.0
188,51,4,0.0
189,51,10,84.0
190,52,1,0.0
191,52,2,0.0
192,52,4,6.0
193,52,8,0.0
194,53,5,240.0
195,53,6,-42.0
196,54,4,45.0
197,54,6,168.0
198,54,8,0.0
199,54,10,168.0
200,55,4,168.0
201,55,9,78.0
202,56,2,24.0
203,56,5,12.0
204,56,6,12.0
205,56,10,84.0
206,57,3,72.0
207,57,6,0.0
208,57,10,0.0
209,58,1,0.0
210,58,3,0.0
211,58,4,168.0
212,58,8,-54.0
213,59,1,-24.0
214,59,2,72.0
215,59,5,240.0
216,59,7,240.0
217,59,9,120.0
218,60,1,0.0
219,60,3,0.0
220,60,5,0.0
221,60,7,0.0
222,61,5,240.0
223,61,7,0.0
224,61,8,0.0
225,61,10,0.0
226,62,6,70.0
227,62,7,120.0
228,62,9,12.0
229,63,1,108.0
230,63,7,96.0
231,63,10,12.0
232,64,5,240.0
233,64,6,144.0
234,64,8,-42.0
235,65,2,0.0
236,65,3,0.0
237,65,5,0.0
238,65,6,168.0
239,66,2,-24.0
240,66,6,12.0
241,66,9,66.0
242,66,10,84.0
243,67,4,-24.0
244,67,8,18.0
245,67,10,6.0
246,68,6,64.0
247,68,7,240.0
248,68,8,24.0
249,68,9,120.0
250,69,2,0.0
251,69,5,0.0
252,69,8,-6.0
253,69,9,0.0
254,70,1,0.0
255,70,8,0.0
256,70,10,84.0
257,71,1,168.0
258,71,4,0.0
259,71,5,240.0
260,72,1,30.0
261,72,2,0.0
262,72,6,168.0
263,72,8,-18.0
264,72,10,168.0
265,73,1,0.0
266,73,2,3.0
267,73,4,30.0
268,73,7,240.0
269,74,5,0.0
270,74,7,90.0
271,74,9,0.0
272,74,10,0.0
273,75,3,-42.0
274,75,6,120.0
275,75,7,120.0
276,75,10,0.0
277,76,8,0.0
278,76,9,0.0
279,76,10,0.0
280,77,5,36.0
281,77,7,84.0
282,77,9,6.0
283,78,3,0.0
284,78,6,0.0
285,78,7,0.0
286,79,1,0.0
287,79,8,0.0
288,80,1,0.0
289,80,3,0.0
290,80,5,240.0
291,80,6,0.0
292,81,3,0.0
293,81,6,0.0
294,81,7,0.0
295,81,8,0.0
296,81,10,0.0
297,82,1,0.0
298,82,5,0.0
299,82,7,114.0
300,82,9,120.0
301,83,5,0.0
302,83,7,66.0
303,83,8,9.0
304,83,9,0.0
305,84,3,0.0
306,84,8,0.0
307,84,9,0.0
308,85,5,0.0
309,85,6,102.0
310,85,7,240.0
311,85,9,0.0
312,86,1,-24.0
313,86,6,60.0
314,86,8,0.0
315,86,9,60.0
