,gender_F,gender_M,gender_O,age,income,user_id,became_member_year,total_amt
0,1,0,0,39,65404.9915682968,1,2017,5.21
1,1,0,0,55,112000.0,2,2017,23.22
2,0,1,0,30,65404.9915682968,3,2018,4.09
3,1,0,0,75,100000.0,4,2017,26.56
4,0,1,0,53,65404.9915682968,5,2017,0.06
5,0,1,0,68,70000.0,6,2018,18.42
6,1,0,0,41,65404.9915682968,7,2017,0.0
7,0,0,1,56,65404.9915682968,8,2017,0.05
8,0,1,0,65,53000.0,9,2018,11.26
9,0,0,1,57,65404.9915682968,10,2016,0.18
10,1,0,0,51,65404.9915682968,11,2017,54.61
11,0,1,0,82,65404.9915682968,12,2015,1.88
12,0,1,0,58,51000.0,13,2017,0.87
13,1,0,0,61,57000.0,14,2017,12.56
14,0,1,0,26,46000.0,15,2014,5.97
15,1,0,0,62,71000.0,16,2016,29.69
16,0,1,0,49,52000.0,17,2014,0.58
17,0,1,0,30,65404.9915682968,18,2017,0.98
18,0,1,0,57,42000.0,19,2017,5.74
19,1,0,0,61,40000.0,20,2018,2.11
20,1,0,0,40,71000.0,21,2016,18.32
21,0,1,0,64,100000.0,22,2017,40.96
22,1,0,0,78,71000.0,23,2017,18.98
23,0,0,1,58,65404.9915682968,24,2017,2.32
24,0,1,0,42,69000.0,25,2013,15.93
25,1,0,0,56,88000.0,26,2018,28.48
26,0,0,1,44,65404.9915682968,27,2017,0.46
27,1,0,0,33,52000.0,28,2017,1.49
28,1,0,0,46,59000.0,29,2017,2.88
29,0,1,0,59,41000.0,30,2015,2.32
30,0,1,0,67,96000.0,31,2014,20.62
31,0,0,1,53,52000.0,32,2017,2.8
32,0,1,0,22,70000.0,33,2017,28.82
33,1,0,0,96,89000.0,34,2017,22.05
34,0,1,0,40,33000.0,35,2016,1.62
35,1,0,0,69,57000.0,36,2016,15.11
36,0,1,0,50,65404.9915682968,37,2016,5.28
37,0,1,0,56,68000.0,38,2014,28.28
38,1,0,0,26,63000.0,39,2017,2.5300000000000002
39,1,0,0,68,65404.9915682968,40,2018,0.4
40,0,1,0,75,40000.0,41,2015,2.36
41,1,0,0,20,30000.0,42,2016,3.18
42,0,1,0,45,33000.0,43,2018,5.6
43,0,1,0,61,98000.0,44,2017,25.98
44,0,0,1,84,65404.9915682968,45,2014,0.06
45,0,0,1,40,65404.9915682968,46,2017,2.04
46,1,0,0,69,37000.0,47,2013,4.21
47,1,0,0,54,80000.0,48,2017,19.99
48,0,1,0,39,51000.0,49,2014,1.63
49,1,0,0,41,41000.0,50,2015,5.2
50,1,0,0,79,48000.0,51,2015,2.35
51,1,0,0,66,38000.0,52,2018,6.44
52,1,0,0,56,52000.0,53,2017,14.18
53,1,0,0,39,56000.0,54,2014,1.83
54,0,0,1,45,65404.9915682968,55,2017,1.26
55,0,1,0,42,96000.0,56,2016,24.3
56,1,0,0,65,65404.9915682968,57,2017,3.33
57,0,1,0,27,65404.9915682968,58,2015,2.5700000000000003
58,1,0,0,78,93000.0,59,2016,38.23
59,0,1,0,45,48000.0,60,2017,2.15
60,0,1,0,29,50000.0,61,2016,0.44
61,0,1,0,44,35000.0,62,2017,12.9
62,0,1,0,63,56000.0,63,2018,13.3
63,0,1,0,36,56000.0,64,2017,18.48
64,1,0,0,76,47000.0,65,2018,4.57
65,0,1,0,68,87000.0,66,2017,20.93
66,0,1,0,75,52000.0,67,2015,6.86
67,0,1,0,67,76000.0,68,2017,14.62
68,0,1,0,77,51000.0,69,2016,2.05
69,0,1,0,76,64000.0,70,2014,10.26
70,0,1,0,57,98000.0,71,2018,27.24
71,1,0,0,53,72000.0,72,2016,14.68
72,1,0,0,53,117000.0,73,2016,24.41
73,1,0,0,53,55000.0,74,2017,2.02
74,1,0,0,61,112000.0,75,2017,33.87
75,1,0,0,67,77000.0,76,2016,24.06
76,1,0,0,58,85000.0,77,2018,23.46
77,1,0,0,46,36000.0,78,2018,1.44
78,0,1,0,30,41000.0,79,2017,3.12
79,0,1,0,59,89000.0,80,2017,22.44
80,0,0,1,46,65404.9915682968,81,2017,2.7800000000000002
81,0,1,0,51,41000.0,82,2015,8.59
82,0,1,0,27,35000.0,83,2018,3.62
83,0,1,0,40,53000.0,84,2018,2.07
84,0,0,1,20,65404.9915682968,85,2015,1.78
85,1,0,0,73,91000.0,86,2018,33.17
86,1,0,0,74,107000.0,87,2015,45.98
87,0,1,0,42,66000.0,88,2015,33.26
88,0,1,0,78,58000.0,89,2015,14.27
89,1,0,0,54,53000.0,90,2016,1.55
90,1,0,0,70,74000.0,91,2018,0.0
91,1,0,0,49,57000.0,92,2017,15.51
92,1,0,0,62,57000.0,93,2018,0.0
93,0,1,0,64,70000.0,94,2017,12.4
94,1,0,0,89,87000.0,95,2017,16.02
95,0,1,0,73,51000.0,96,2018,1.6400000000000001
96,1,0,0,82,65404.9915682968,97,2016,0.33
97,1,0,0,50,93000.0,98,2017,31.31
98,1,0,0,90,98000.0,99,2015,38.19
99,1,0,0,68,84000.0,100,2016,16.82
100,0,1,0,60,64000.0,101,2017,1.1400000000000001
101,0,1,0,45,54000.0,102,2017,5.47
102,0,1,0,66,49000.0,103,2016,14.39
103,0,0,1,53,65404.9915682968,104,2017,6.32
104,0,0,1,48,65404.9915682968,105,2017,0.05
105,1,0,0,19,73000.0,106,2016,19.1
106,1,0,0,66,58000.0,107,2018,12.35
107,1,0,0,72,72000.0,108,2016,18.5
