,gender_F,gender_M,gender_O,age,income,user_id,became_member_year,total_amt,offer_1_received,offer_1_viewed,offer_1_completed,offer_2_received,offer_2_viewed,offer_2_completed,offer_3_received,offer_3_viewed,offer_3_completed,offer_4_received,offer_4_viewed,offer_4_completed,offer_5_received,offer_5_viewed,offer_5_completed,offer_6_received,offer_6_viewed,offer_6_completed,offer_7_received,offer_7_viewed,offer_7_completed,offer_8_received,offer_8_viewed,offer_8_completed,offer_9_received,offer_9_viewed,offer_9_completed,offer_10_received,offer_10_viewed,offer_10_completed
0,1,0,0,39,65404.9915682968,1,2017,5.21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,2,1,0,0,0,0,0,0,1,1,0
1,1,0,0,55,112000.0,2,2017,23.22,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,30,65404.9915682968,3,2018,4.09,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
3,1,0,0,75,100000.0,4,2017,26.56,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
4,0,1,0,53,65404.9915682968,5,2017,0.06,0,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,1,0,68,70000.0,6,2018,18.42,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
6,1,0,0,41,65404.9915682968,7,2017,0.0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0
7,0,0,1,56,65404.9915682968,8,2017,0.05,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
8,0,1,0,65,53000.0,9,2018,11.26,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,1,1,1
9,0,0,1,57,65404.9915682968,10,2016,0.18,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
10,1,0,0,51,65404.9915682968,11,2017,54.61,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,1,0,82,65404.9915682968,12,2015,1.88,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0
12,0,1,0,58,51000.0,13,2017,0.87,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
13,1,0,0,61,57000.0,14,2017,12.56,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0
14,0,1,0,26,46000.0,15,2014,5.97,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
15,1,0,0,62,71000.0,16,2016,29.69,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,3,2,2,1,0,0,0,0,0,0,0,0,0
16,0,1,0,49,52000.0,17,2014,0.58,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
17,0,1,0,30,65404.9915682968,18,2017,0.98,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
18,0,1,0,57,42000.0,19,2017,5.74,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,61,40000.0,20,2018,2.11,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
20,1,0,0,40,71000.0,21,2016,18.32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,1,0,1
21,0,1,0,64,100000.0,22,2017,40.96,2,2,1,0,0,0,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,0,0,78,71000.0,23,2017,18.98,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0
23,0,0,1,58,65404.9915682968,24,2017,2.32,0,0,0,1,1,0,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,1,0,42,69000.0,25,2013,15.93,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0
25,1,0,0,56,88000.0,26,2018,28.48,0,0,0,1,1,1,0,0,0,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
26,0,0,1,44,65404.9915682968,27,2017,0.46,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
27,1,0,0,33,52000.0,28,2017,1.49,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,2,1,0
28,1,0,0,46,59000.0,29,2017,2.88,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
