,offer_response
7,0
13,3
31,0
44,3
53,3
55,0
56,0
76,0
86,0
90,3
92,3
95,0
99,3
100,3
108,0
112,0
116,0
121,3
127,0
148,0
155,0
156,0
158,0
161,0
164,3
166,0
167,0
180,3
181,3
185,0
189,3
201,3
202,0
209,3
210,0
212,0
214,3
219,3
223,0
225,0
235,0
237,0
239,0
244,3
245,0
246,0
258,0
261,0
263,0
268,0
270,0
274,0
281,3
283,0
287,3
291,3
294,0
295,3
296,3
301,0
303,0
308,0
322,0
323,0
337,0
342,0
347,3
360,0
362,3
372,0
373,0
376,3
381,0
386,0
388,0
390,0
393,0
398,0
399,0
400,0
406,0
409,3
410,3
412,0
415,3
417,0
436,0
439,0
441,3
442,0
445,0
448,0
454,0
461,0
465,0
468,0
473,0
474,0
485,0
497,0
518,3
522,0
524,0
532,0
534,0
539,3
540,0
542,0
544,0
546,3
547,3
551,0
556,3
563,0
569,0
573,3
582,3
585,0
587,0
593,3
603,0
615,0
618,0
624,0
627,0
631,3
638,0
639,0
641,0
649,0
654,0
655,0
656,0
658,3
663,0
665,0
672,0
682,0
684,0
689,0
691,0
695,0
698,0
706,0
707,3
708,0
709,0
725,0
728,0
729,0
730,3
732,0
738,3
752,0
754,3
758,0
778,3
780,0
781,3
785,0
789,0
791,0
806,0
807,3
821,0
823,3
831,0
832,0
835,3
840,0
847,3
849,3
851,0
852,3
854,0
856,3
857,3
860,3
862,0
863,3
872,0
873,3
877,0
880,3
882,0
886,0
890,0
892,3
893,0
894,0
897,3
900,3
902,0
914,0
919,0
920,0
927,3
934,0
944,3
946,3
950,0
954,0
955,0
957,3
960,0
963,0
981,0
987,3
997,3
1017,0
1020,0
1036,0
1039,0
1043,0
1049,0
1057,0
1068,3
1079,0
1082,0
1088,3
1113,0
1117,0
1122,0
1126,3
1130,0
1133,0
1150,0
1151,3
1152,3
1154,0
1158,0
1171,0
1173,0
1174,3
1176,3
1180,0
1186,3
1187,0
1189,0
1192,0
1194,0
1196,0
1200,0
1201,0
1208,0
1209,0
1220,0
1236,0
1242,3
1243,0
1245,0
1246,3
1264,0
1270,0
1283,3
1289,0
1292,0
1297,0
1298,3
1302,0
1307,0
1308,0
1309,0
1311,3
1314,0
1323,0
1332,0
1333,3
1344,3
1345,3
1350,3
1359,0
1361,0
1363,3
1372,0
1373,0
1377,0
1380,3
1390,0
1391,3
1419,3
1422,0
1425,3
1427,0
1434,3
1435,0
1438,3
1452,3
1457,0
1458,0
1463,0
1471,3
1473,3
1483,0
1485,0
1488,0
1489,0
1490,3
1491,0
1497,0
1498,0
1501,0
1507,3
1512,0
1532,0
1537,0
1543,0
1552,0
1556,0
1558,3
1561,0
1566,3
1568,3
1569,0
1577,0
1584,3
1606,0
1607,0
1619,0
1630,3
1638,3
1644,0
1650,0
1654,0
1655,3
1665,3
1671,0
1675,0
1678,0
1682,0
1691,3
1697,0
1698,0
1708,3
1713,0
1721,0
1722,0
1724,0
1725,0
1732,0
1734,3
1736,0
1737,0
1740,0
1746,0
1765,3
1774,3
1782,3
1794,0
1795,3
1797,0
1800,3
1803,3
1811,0
1812,0
1814,0
1815,0
1816,3
1820,0
1821,0
1823,0
1826,0
1827,0
1828,3
1839,3
1841,0
1843,0
1848,0
1867,0
1877,0
1888,3
1890,0
1903,0
1905,0
1906,0
1920,0
1923,0
1930,0
1933,0
1938,0
1952,0
1962,0
1963,0
1968,0
1977,0
1984,0
1991,3
2000,3
2004,0
2006,0
2010,0
2013,0
2017,0
2023,0
2028,0
2029,0
2030,0
2045,0
2048,3
2059,0
2070,3
2094,0
2097,3
2104,0
2105,0
2125,0
2127,0
2129,3
2134,0
2137,0
2140,3
2144,0
2145,0
2146,0
2149,3
2154,0
2169,0
2172,3
2173,0
2186,0
2198,0
2206,3
2212,0
2222,3
2230,3
2234,3
2246,3
2247,0
2261,0
2262,0
2269,0
2271,0
2274,3
2278,0
2281,3
2283,0
2289,0
2293,0
2294,0
2300,0
2302,0
2305,3
2318,3
2319,0
2320,0
2324,0
2334,0
2337,0
2348,3
2356,0
2371,0
2373,0
2378,3
2385,0
2388,0
2389,0
2392,0
2393,0
2401,3
2412,0
2414,3
2423,0
2425,0
2428,0
2434,0
2443,0
2448,0
2458,3
2463,0
2467,0
2478,0
2479,0
2481,0
2487,0
2489,3
2497,0
2499,0
2503,0
2505,0
2522,3
2525,0
2540,3
2545,3
2553,0
2563,0
2564,0
2567,3
2581,0
2582,0
2583,0
2597,3
2600,0
2603,0
2604,3
2608,0
2615,0
2630,0
2639,0
2643,0
2645,0
2652,3
2667,3
2671,0
2675,0
2683,0
2687,3
2705,0
2707,0
2709,0
2715,0
2717,0
2719,0
2720,0
2730,0
2732,0
2737,3
2738,3
2746,3
2749,0
2752,0
2757,0
2778,3
2799,0
2806,0
2809,0
2811,0
2816,0
2817,0
2818,0
2824,3
2828,3
2829,0
2833,0
2836,0
2854,0
2860,0
2866,3
2870,0
2880,3
2881,0
2890,0
2904,3
2905,3
2907,0
2912,3
2914,0
2916,0
2924,0
2926,0
2931,0
2936,0
2944,3
2949,0
2954,0
2955,3
2960,3
2965,3
2969,0
2974,0
2978,0
2980,0
2982,0
2984,0
2990,0
3007,0
3013,0
3038,0
3039,3
3040,3
3044,0
3047,0
3054,0
3055,3
3059,0
3066,0
3071,3
3075,0
3082,0
3085,0
3086,0
3088,3
3090,3
3091,0
3095,0
3100,0
3112,3
3114,0
3132,0
3136,0
3137,0
3138,0
3139,0
3154,0
3156,0
3157,0
3160,0
3164,3
3185,0
3189,0
3193,0
3200,0
3204,0
3209,0
3213,0
3214,3
3219,3
3228,0
3235,0
3253,0
3254,3
3256,0
3259,0
3263,0
3278,3
3282,0
3284,3
3289,0
3291,3
3295,0
3299,3
3300,0
3311,0
3314,3
3324,0
3325,0
3329,0
3347,3
3350,0
3362,0
3364,0
3367,3
3371,0
3388,0
3396,0
3398,0
3399,0
3404,0
3407,0
3418,0
3421,0
3425,0
3430,3
3432,3
3434,3
3436,3
3441,0
3444,0
3446,0
3453,0
3455,0
3457,3
3458,0
3464,0
3470,0
3476,0
3482,0
3487,0
3490,0
3493,0
3495,0
3498,3
3501,3
3504,0
3506,3
3507,0
3509,0
3510,0
3517,3
3520,0
3524,0
3526,0
3529,0
3530,0
3534,3
3537,0
3540,0
3541,0
3543,0
3556,3
3559,3
3561,0
3562,3
3563,3
3567,0
3570,0
3572,0
3574,3
3583,0
3584,0
3586,0
3593,0
3594,0
3597,0
3598,0
3613,3
3625,3
3636,3
3641,3
3642,0
3645,0
3647,0
3648,3
3651,0
3655,0
3659,3
3662,0
3663,0
3668,3
3677,0
3678,3
3686,0
3694,3
3695,3
3712,3
3714,0
3717,0
3718,0
3719,3
3723,0
3726,0
3740,3
3744,0
3746,3
3748,0
3749,0
3755,0
3758,0
3763,0
3768,0
3774,0
3777,0
3779,0
3783,0
3789,0
3795,0
3820,0
3822,0
3824,3
3838,0
3842,0
3844,0
3851,0
3853,0
3860,0
3865,3
3867,3
3876,3
3890,0
3892,0
3900,0
3903,3
3911,3
3913,0
3916,0
3925,0
3936,0
3939,0
3952,3
3953,0
3958,0
3959,0
3962,3
3965,0
3969,0
3972,3
3973,0
3983,0
3985,0
3989,3
4001,0
4002,0
4010,0
4012,0
4014,0
4016,0
4025,3
4026,0
4033,3
4036,0
4039,0
4044,0
4046,0
4049,0
4053,3
4054,0
4062,0
4067,0
4071,0
4078,0
4081,0
4089,3
4094,0
4117,3
4127,0
4129,0
4140,0
4142,0
4147,3
4154,0
4155,3
4164,0
4166,3
4169,3
4170,3
4178,0
4182,0
4185,0
4189,3
4194,3
4195,0
4206,3
4210,0
4216,0
4218,3
4220,0
4225,0
4234,0
4238,0
4245,0
4256,0
4261,3
4270,3
4272,0
4293,3
4298,0
4299,3
4302,0
4303,0
4304,0
4312,0
4313,3
4316,3
4321,0
4322,3
4328,0
4330,0
4331,3
4334,3
4346,0
4347,3
4351,0
4360,0
4364,0
4370,0
4372,0
4376,0
4377,3
4382,0
4385,3
4386,3
4391,0
4393,0
4395,0
4401,0
4402,0
4406,3
4421,0
4423,0
4425,0
4427,0
4428,0
4431,0
4439,0
4444,0
4462,0
4470,0
4475,0
4488,0
4497,0
4501,3
4504,3
4505,0
4509,3
4524,0
4531,3
4533,3
4534,0
4535,0
4539,0
4546,3
4554,0
4556,0
4558,3
4561,0
4565,0
4566,0
4568,0
4569,3
4582,0
4583,0
